protocol,function,algorithm,run,best,n_fes,max_iter,seconds
equal_iterations,F29,HHO,0,391814.6124267492,28230,500,39.5438509999949
equal_iterations,F29,HHO,1,404613.4351744765,27904,500,38.031005099997856
equal_iterations,F29,HHO,2,97075.33586753593,27922,500,29.125633400006336
equal_iterations,F29,HHO,3,415914.17655413423,27894,500,29.12632750000921
equal_iterations,F29,HHO,4,174882.77510753757,27346,500,28.54752870000084
equal_iterations,F29,HHO,5,565453.6428200696,27844,500,28.89203260000795
equal_iterations,F29,HHO,6,156279.65120845454,27536,500,34.4186672999931
equal_iterations,F29,HHO,7,573990092.7124794,27660,500,37.745857000001706
equal_iterations,F29,HHO,8,98785.87091095408,27940,500,38.772429799995734
equal_iterations,F29,HHO,9,453722.6948219725,28140,500,38.430467600002885
equal_iterations,F29,BFO,0,76843.15771968135,27324,500,38.50820039999962
equal_iterations,F29,BFO,1,82431.85495110715,27150,500,38.46181890000298
equal_iterations,F29,BFO,2,63618.717331791355,26632,500,27.99108160000469
equal_iterations,F29,BFO,3,33427.860900712236,27040,500,35.49130340000556
equal_iterations,F29,BFO,4,142852.40550847555,27301,500,28.725162699993234
equal_iterations,F29,BFO,5,43312.45019800546,26801,500,28.221908899999107
equal_iterations,F29,BFO,6,76284.04554827709,27283,500,28.70317980000982
equal_iterations,F29,BFO,7,42794.047854013676,26737,500,28.06003320000309
equal_iterations,F29,BFO,8,138955.56467953126,27439,500,29.313987499990617
equal_iterations,F29,BFO,9,45013.742773429214,27578,500,28.998712700005854
equal_iterations,F29,TSA,0,659989227.1846862,45128,500,72.31199099999503
equal_iterations,F29,TSA,1,515320657.61667407,45008,500,54.50473329999659
equal_iterations,F29,TSA,2,243986314.67012295,44964,500,55.2183512999909
equal_iterations,F29,TSA,3,482797547.2435391,45047,500,62.76454579998972
equal_iterations,F29,TSA,4,719645336.106962,45178,500,54.928948999993736
equal_iterations,F29,TSA,5,50519329.96833444,44662,500,70.58058270000038
equal_iterations,F29,TSA,6,47796049.50648923,44853,500,72.34997320000548
equal_iterations,F29,TSA,7,109250635.14139307,45146,500,64.09251220000442
equal_iterations,F29,TSA,8,586540167.769229,44910,500,71.06485589999647
